conversion_id,event_id,conversion_timestamp,conversion_value,attribution_model,sku,quantity
conv_alpha_000000,evt_alpha_000878,2024-01-07 00:00:00 CST,88,last_click,SKU-015,3
conv_alpha_000001,evt_alpha_000739,2024-03-18 00:00:00 CST,103,first_click,SKU-058,2
conv_alpha_000002,evt_alpha_007971,2024-03-18 00:00:00 CST,13,last_click,SKU-097,2
conv_alpha_000003,evt_alpha_005878,2024-02-29 00:00:00 CST,209,linear,SKU-029,1
conv_alpha_000004,evt_alpha_002533,2024-01-27 00:00:00 CST,87,linear,SKU-088,4
conv_alpha_000005,evt_alpha_008384,2024-03-16 00:00:00 CST,306,first_click,SKU-042,3
conv_alpha_000006,evt_alpha_006024,2024-02-18 00:00:00 CST,415,last_click,SKU-060,4
conv_alpha_000007,evt_alpha_002426,2024-02-05 00:00:00 CST,307,linear,SKU-081,2
conv_alpha_000008,evt_alpha_002974,2024-01-20 00:00:00 CST,383,first_click,SKU-005,4
conv_alpha_000009,evt_alpha_000571,2024-01-03 00:00:00 CST,210,first_click,SKU-033,2
conv_alpha_000010,evt_alpha_006751,2024-01-18 00:00:00 CST,269,first_click,SKU-092,3
conv_alpha_000011,evt_alpha_001394,2024-02-03 00:00:00 CST,122,last_click,SKU-097,4
conv_alpha_000012,evt_alpha_007909,2024-02-29 00:00:00 CST,117,last_click,SKU-023,3
conv_alpha_000013,evt_alpha_006770,2024-02-03 00:00:00 CST,67,last_click,SKU-048,3
conv_alpha_000014,evt_alpha_000071,2024-03-08 00:00:00 CST,143,linear,SKU-058,3
conv_alpha_000015,evt_alpha_003768,2024-03-23 00:00:00 CST,138,linear,SKU-023,1
conv_alpha_000016,evt_alpha_007835,2024-03-09 00:00:00 CST,92,last_click,SKU-094,4
conv_alpha_000017,evt_alpha_001261,2024-01-29 00:00:00 CST,244,linear,SKU-001,2
conv_alpha_000018,evt_alpha_005690,2024-03-05 00:00:00 CST,211,first_click,SKU-022,1
conv_alpha_000019,evt_alpha_007710,2024-03-06 00:00:00 CST,224,linear,SKU-046,4
conv_alpha_000020,evt_alpha_009432,2024-02-10 00:00:00 CST,22,first_click,SKU-062,2
conv_alpha_000021,evt_alpha_005553,2024-02-08 00:00:00 CST,473,linear,SKU-085,2
conv_alpha_000022,evt_alpha_004474,2024-02-09 00:00:00 CST,398,last_click,SKU-067,1
conv_alpha_000023,evt_alpha_004622,2024-01-10 00:00:00 CST,10,linear,SKU-074,4
conv_alpha_000024,evt_alpha_007518,2024-01-28 00:00:00 CST,46,linear,SKU-054,3
conv_alpha_000025,evt_alpha_004490,2024-03-25 00:00:00 CST,302,first_click,SKU-034,2
conv_alpha_000026,evt_alpha_000969,2024-02-24 00:00:00 CST,141,last_click,SKU-087,3
conv_alpha_000027,evt_alpha_003279,2024-02-25 00:00:00 CST,412,linear,SKU-051,1
conv_alpha_000028,evt_alpha_009184,2024-03-12 00:00:00 CST,190,linear,SKU-044,3
conv_alpha_000029,evt_alpha_005619,2024-02-07 00:00:00 CST,198,last_click,SKU-046,3
conv_alpha_000030,evt_alpha_008942,2024-02-29 00:00:00 CST,41,linear,SKU-019,3
conv_alpha_000031,evt_alpha_001492,2024-02-03 00:00:00 CST,331,last_click,SKU-053,1
conv_alpha_000032,evt_alpha_003895,2024-03-14 00:00:00 CST,429,last_click,SKU-001,2
conv_alpha_000033,evt_alpha_000900,2024-02-20 00:00:00 CST,170,last_click,SKU-081,2
conv_alpha_000034,evt_alpha_007122,2024-03-01 00:00:00 CST,428,linear,SKU-083,3
conv_alpha_000035,evt_alpha_006377,2024-01-28 00:00:00 CST,147,linear,SKU-018,1
conv_alpha_000036,evt_alpha_009708,2024-03-05 00:00:00 CST,205,first_click,SKU-048,4
conv_alpha_000037,evt_alpha_007760,2024-02-12 00:00:00 CST,384,last_click,SKU-072,2
conv_alpha_000038,evt_alpha_008465,2024-02-02 00:00:00 CST,103,last_click,SKU-052,3
conv_alpha_000039,evt_alpha_003523,2024-01-02 00:00:00 CST,292,first_click,SKU-034,2
conv_alpha_000040,evt_alpha_009226,2024-03-06 00:00:00 CST,296,last_click,SKU-019,4
conv_alpha_000041,evt_alpha_004678,2024-01-14 00:00:00 CST,388,last_click,SKU-001,4
conv_alpha_000042,evt_alpha_006944,2024-02-03 00:00:00 CST,409,linear,SKU-002,2
conv_alpha_000043,evt_alpha_008210,2024-01-15 00:00:00 CST,473,linear,SKU-006,3
conv_alpha_000044,evt_alpha_009936,2024-02-08 00:00:00 CST,404,last_click,SKU-077,4
conv_alpha_000045,evt_alpha_008216,2024-02-10 00:00:00 CST,133,last_click,SKU-014,1
conv_alpha_000046,evt_alpha_002003,2024-03-24 00:00:00 CST,307,linear,SKU-033,3
conv_alpha_000047,evt_alpha_002703,2024-01-07 00:00:00 CST,385,first_click,SKU-004,3
conv_alpha_000048,evt_alpha_004445,2024-01-19 00:00:00 CST,356,last_click,SKU-081,1
conv_alpha_000049,evt_alpha_004372,2024-02-24 00:00:00 CST,98,linear,SKU-099,4
conv_alpha_000050,evt_alpha_004134,2024-02-19 00:00:00 CST,293,linear,SKU-025,3
conv_alpha_000051,evt_alpha_001735,2024-02-01 00:00:00 CST,456,first_click,SKU-044,1
conv_alpha_000052,evt_alpha_006739,2024-01-09 00:00:00 CST,382,last_click,SKU-038,2
conv_alpha_000053,evt_alpha_002171,2024-02-06 00:00:00 CST,307,linear,SKU-075,2
conv_alpha_000054,evt_alpha_005775,2024-02-08 00:00:00 CST,485,first_click,SKU-027,2
conv_alpha_000055,evt_alpha_002861,2024-01-20 00:00:00 CST,356,first_click,SKU-045,4
conv_alpha_000056,evt_alpha_007455,2024-02-18 00:00:00 CST,495,linear,SKU-040,1
conv_alpha_000057,evt_alpha_003175,2024-01-09 00:00:00 CST,464,first_click,SKU-046,4
conv_alpha_000058,evt_alpha_003449,2024-01-06 00:00:00 CST,215,first_click,SKU-081,1
conv_alpha_000059,evt_alpha_006379,2024-01-21 00:00:00 CST,377,linear,SKU-058,2
conv_alpha_000060,evt_alpha_005936,2024-03-17 00:00:00 CST,151,first_click,SKU-088,2
conv_alpha_000061,evt_alpha_002911,2024-01-23 00:00:00 CST,242,first_click,SKU-086,1
conv_alpha_000062,evt_alpha_007986,2024-01-02 00:00:00 CST,186,linear,SKU-099,4
conv_alpha_000063,evt_alpha_002189,2024-01-20 00:00:00 CST,229,last_click,SKU-057,1
conv_alpha_000064,evt_alpha_000176,2024-03-11 00:00:00 CST,460,last_click,SKU-053,4
conv_alpha_000065,evt_alpha_005549,2024-02-28 00:00:00 CST,18,last_click,SKU-091,3
conv_alpha_000066,evt_alpha_002785,2024-03-22 00:00:00 CST,269,first_click,SKU-062,1
conv_alpha_000067,evt_alpha_001236,2024-03-22 00:00:00 CST,317,linear,SKU-058,3
conv_alpha_000068,evt_alpha_008109,2024-02-06 00:00:00 CST,203,last_click,SKU-080,4
conv_alpha_000069,evt_alpha_005371,2024-01-30 00:00:00 CST,40,first_click,SKU-099,3
conv_alpha_000070,evt_alpha_004945,2024-02-17 00:00:00 CST,237,first_click,SKU-085,4
conv_alpha_000071,evt_alpha_001615,2024-01-18 00:00:00 CST,491,first_click,SKU-027,4
conv_alpha_000072,evt_alpha_009670,2024-02-09 00:00:00 CST,367,last_click,SKU-074,4
conv_alpha_000073,evt_alpha_007026,2024-01-03 00:00:00 CST,85,linear,SKU-094,2
conv_alpha_000074,evt_alpha_003732,2024-02-07 00:00:00 CST,29,linear,SKU-021,3
conv_alpha_000075,evt_alpha_000402,2024-01-08 00:00:00 CST,435,first_click,SKU-076,1
conv_alpha_000076,evt_alpha_008553,2024-01-12 00:00:00 CST,134,linear,SKU-063,4
conv_alpha_000077,evt_alpha_007421,2024-02-28 00:00:00 CST,57,first_click,SKU-027,4
conv_alpha_000078,evt_alpha_002164,2024-03-03 00:00:00 CST,436,first_click,SKU-028,2
conv_alpha_000079,evt_alpha_003228,2024-01-18 00:00:00 CST,116,first_click,SKU-087,1
conv_alpha_000080,evt_alpha_004088,2024-01-10 00:00:00 CST,317,linear,SKU-018,1
conv_alpha_000081,evt_alpha_004660,2024-01-13 00:00:00 CST,160,linear,SKU-040,3
conv_alpha_000082,evt_alpha_002353,2024-01-29 00:00:00 CST,83,first_click,SKU-094,2
conv_alpha_000083,evt_alpha_006841,2024-02-11 00:00:00 CST,32,first_click,SKU-078,4
conv_alpha_000084,evt_alpha_004470,2024-01-26 00:00:00 CST,415,first_click,SKU-082,4
conv_alpha_000085,evt_alpha_006371,2024-03-15 00:00:00 CST,375,linear,SKU-060,4
conv_alpha_000086,evt_alpha_001513,2024-01-15 00:00:00 CST,241,linear,SKU-083,4
conv_alpha_000087,evt_alpha_001607,2024-01-17 00:00:00 CST,258,first_click,SKU-066,1
conv_alpha_000088,evt_alpha_004463,2024-01-24 00:00:00 CST,90,linear,SKU-051,4
conv_alpha_000089,evt_alpha_003862,2024-03-26 00:00:00 CST,312,first_click,SKU-077,1
