event_id,timestamp,adType,cost_micros,impressions,clicks,conv_click_7d,revenue_7d,campaign_id,sku,audience_segment,device,currency,timezone
evt_alpha_000000,2024-02-21 14:00:00 CST,onsite_disp,1792743,5834,121,18,4426,camp_alpha_011,SKU-088,retargeting,UNKNOWN,USD,CST
evt_alpha_000001,2024-01-24 02:00:00 CST,SD,1866891,7049,385,20,1184,camp_alpha_012,SKU-058,inmarket,mobile,USD,CST
evt_alpha_000002,2024-03-29 16:00:00 CST,onsite_disp,2353882,2658,169,27,2747,camp_alpha_016,SKU-015,inmarket,desktop,USD,CST
evt_alpha_000003,2024-02-16 18:00:00 CST,offsite_vid,2516182,1367,319,2,3556,camp_alpha_019,SKU-007,retargeting,mobile,USD,CST
evt_alpha_000004,2024-02-08 17:00:00 CST,offsite_vid,3516664,8533,264,25,2612,camp_alpha_002,SKU-084,,tablet,USD,CST
evt_alpha_000005,2024-02-29 06:00:00 CST,offsite_vid,4550812,875,430,34,3152,camp_alpha_004,SKU-050,,UNKNOWN,USD,CST
evt_alpha_000006,2024-01-02 05:00:00 CST,SD,371836,6973,43,33,4297,camp_alpha_004,SKU-014,lookalike,UNKNOWN,USD,CST
evt_alpha_000007,2024-01-15 07:00:00 CST,SD,2979190,9567,189,39,337,camp_alpha_015,SKU-053,,desktop,USD,CST
evt_alpha_000008,2024-03-29 12:00:00 CST,sp,1525472,8106,8,23,2027,camp_alpha_008,SKU-088,lookalike,tablet,USD,CST
evt_alpha_000009,2024-03-21 07:00:00 CST,onsite_disp,4880450,5992,489,38,3099,camp_alpha_007,SKU-073,,UNKNOWN,USD,CST
evt_alpha_000010,2024-02-03 00:00:00 CST,offsite_vid,1970230,9096,98,43,2773,camp_alpha_003,SKU-065,lookalike,mobile,USD,CST
evt_alpha_000011,2024-02-16 13:00:00 CST,onsite_disp,4478368,1128,217,13,870,camp_alpha_009,SKU-079,lookalike,desktop,USD,CST
evt_alpha_000012,2024-02-11 12:00:00 CST,onsite_disp,869598,963,230,48,563,camp_alpha_004,SKU-094,retargeting,tablet,USD,CST
evt_alpha_000013,2024-01-15 10:00:00 CST,sp,1313475,6768,159,6,1722,camp_alpha_019,SKU-086,,desktop,USD,CST
evt_alpha_000014,2024-02-11 12:00:00 CST,SD,2639448,2793,283,27,3627,camp_alpha_011,SKU-092,retargeting,tablet,USD,CST
evt_alpha_000015,2024-03-02 00:00:00 CST,sp,2335000,5964,258,38,709,camp_alpha_008,SKU-027,retargeting,desktop,USD,CST
evt_alpha_000016,2024-02-06 00:00:00 CST,onsite_disp,1484250,1595,232,48,1853,camp_alpha_017,SKU-058,,UNKNOWN,USD,CST
evt_alpha_000017,2024-02-08 01:00:00 CST,onsite_disp,516880,1736,112,16,698,camp_alpha_017,SKU-002,inmarket,UNKNOWN,USD,CST
evt_alpha_000018,2024-02-23 22:00:00 CST,sp,369536,6628,402,1,1707,camp_alpha_006,SKU-032,lookalike,UNKNOWN,USD,CST
evt_alpha_000019,2024-02-24 10:00:00 CST,offsite_vid,1841093,2427,324,33,197,camp_alpha_011,SKU-016,retargeting,mobile,USD,CST
evt_alpha_000020,2024-02-28 05:00:00 CST,offsite_vid,4124066,759,251,35,1369,camp_alpha_003,SKU-019,,UNKNOWN,USD,CST
evt_alpha_000021,2024-03-11 19:00:00 CST,sp,4771399,5859,38,17,2919,camp_alpha_001,SKU-011,,mobile,USD,CST
evt_alpha_000022,2024-03-29 17:00:00 CST,onsite_disp,1956926,4161,297,34,262,camp_alpha_016,SKU-090,,mobile,USD,CST
evt_alpha_000023,2024-02-29 16:00:00 CST,SD,786976,5523,253,11,4548,camp_alpha_005,SKU-032,lookalike,tablet,USD,CST
evt_alpha_000024,2024-01-09 08:00:00 CST,onsite_disp,4992306,2355,130,19,3191,camp_alpha_001,SKU-024,,tablet,USD,CST
evt_alpha_000025,2024-03-12 03:00:00 CST,SD,4478727,8545,226,47,2557,camp_alpha_003,SKU-025,retargeting,desktop,USD,CST
evt_alpha_000026,2024-03-22 01:00:00 CST,SD,1460828,8452,67,32,4493,camp_alpha_016,SKU-020,,UNKNOWN,USD,CST
evt_alpha_000027,2024-01-08 06:00:00 CST,onsite_disp,4401754,8150,469,21,1693,camp_alpha_006,SKU-051,inmarket,UNKNOWN,USD,CST
evt_alpha_000028,2024-01-27 01:00:00 CST,sp,3037629,7122,447,32,4548,camp_alpha_016,SKU-019,,tablet,USD,CST
evt_alpha_000029,2024-03-04 16:00:00 CST,offsite_vid,1860427,9535,157,28,1069,camp_alpha_006,SKU-099,,mobile,USD,CST
evt_alpha_000030,2024-02-06 23:00:00 CST,sp,2031760,401,180,30,3170,camp_alpha_001,SKU-063,retargeting,mobile,USD,CST
evt_alpha_000031,2024-02-01 22:00:00 CST,sp,2315167,3494,127,17,1816,camp_alpha_010,SKU-095,inmarket,desktop,USD,CST
evt_alpha_000032,2024-03-07 07:00:00 CST,SD,1205534,254,489,1,4057,camp_alpha_017,SKU-033,retargeting,tablet,USD,CST
evt_alpha_000033,2024-02-17 06:00:00 CST,sp,3395990,637,354,49,2455,camp_alpha_013,SKU-060,inmarket,tablet,USD,CST
evt_alpha_000034,2024-02-26 03:00:00 CST,sp,4028083,2468,263,45,4495,camp_alpha_014,SKU-076,lookalike,tablet,USD,CST
evt_alpha_000035,2024-01-15 01:00:00 CST,SD,4283839,953,50,24,3769,camp_alpha_017,SKU-052,inmarket,desktop,USD,CST
evt_alpha_000036,2024-01-15 21:00:00 CST,onsite_disp,561243,3224,59,43,4,camp_alpha_007,SKU-068,inmarket,mobile,USD,CST
evt_alpha_000037,2024-02-16 02:00:00 CST,onsite_disp,3479569,735,105,29,1682,camp_alpha_017,SKU-063,lookalike,UNKNOWN,USD,CST
evt_alpha_000038,2024-02-27 22:00:00 CST,SD,3277945,8408,317,22,1150,camp_alpha_009,SKU-012,retargeting,mobile,USD,CST
evt_alpha_000039,2024-02-27 00:00:00 CST,onsite_disp,1143233,7905,117,47,3672,camp_alpha_008,SKU-001,,mobile,USD,CST
evt_alpha_000040,2024-03-04 04:00:00 CST,SD,3712610,3247,153,15,3506,camp_alpha_005,SKU-086,retargeting,mobile,USD,CST
evt_alpha_000041,2024-03-18 04:00:00 CST,onsite_disp,3821309,6717,431,20,4646,camp_alpha_004,SKU-033,inmarket,desktop,USD,CST
evt_alpha_000042,2024-01-23 09:00:00 CST,SD,1508836,2949,179,30,3730,camp_alpha_001,SKU-069,retargeting,UNKNOWN,USD,CST
evt_alpha_000043,2024-01-16 23:00:00 CST,offsite_vid,3932065,9187,159,26,851,camp_alpha_012,SKU-050,lookalike,UNKNOWN,USD,CST
evt_alpha_000044,2024-02-02 00:00:00 CST,sp,3084626,5832,267,2,3913,camp_alpha_011,SKU-044,retargeting,mobile,USD,CST
evt_alpha_000045,2024-01-12 13:00:00 CST,SD,3076242,9045,34,22,2896,camp_alpha_008,SKU-093,inmarket,desktop,USD,CST
evt_alpha_000046,2024-03-30 01:00:00 CST,onsite_disp,2697480,4074,195,49,1516,camp_alpha_011,SKU-029,,UNKNOWN,USD,CST
evt_alpha_000047,2024-03-29 20:00:00 CST,sp,3469720,8967,393,36,2504,camp_alpha_003,SKU-049,lookalike,UNKNOWN,USD,CST
evt_alpha_000048,2024-02-05 17:00:00 CST,sp,4490886,2243,151,22,4132,camp_alpha_012,SKU-055,retargeting,tablet,USD,CST
evt_alpha_000049,2024-03-29 02:00:00 CST,sp,3431869,8887,367,24,1365,camp_alpha_013,SKU-059,lookalike,mobile,USD,CST
evt_alpha_000050,2024-01-12 08:00:00 CST,onsite_disp,4198502,817,222,18,3577,camp_alpha_015,SKU-016,retargeting,mobile,USD,CST
evt_alpha_000051,2024-01-12 19:00:00 CST,onsite_disp,1909891,3736,150,15,2616,camp_alpha_007,SKU-053,inmarket,desktop,USD,CST
evt_alpha_000052,2024-02-08 13:00:00 CST,onsite_disp,633636,7430,214,28,4330,camp_alpha_011,SKU-018,lookalike,UNKNOWN,USD,CST
evt_alpha_000053,2024-01-09 09:00:00 CST,SD,4526219,7156,252,37,1542,camp_alpha_014,SKU-013,,desktop,USD,CST
evt_alpha_000054,2024-01-09 17:00:00 CST,onsite_disp,617313,1640,28,36,2386,camp_alpha_008,SKU-065,inmarket,UNKNOWN,USD,CST
evt_alpha_000055,2024-01-17 06:00:00 CST,sp,494540,9447,291,5,3486,camp_alpha_019,SKU-061,,desktop,USD,CST
evt_alpha_000056,2024-02-08 09:00:00 CST,SD,849074,4368,140,49,1243,camp_alpha_008,SKU-061,lookalike,mobile,USD,CST
evt_alpha_000057,2024-02-08 00:00:00 CST,onsite_disp,2487312,7676,311,32,133,camp_alpha_012,SKU-045,,mobile,USD,CST
evt_alpha_000058,2024-03-01 14:00:00 CST,sp,1955567,5448,163,34,3512,camp_alpha_018,SKU-047,retargeting,mobile,USD,CST
evt_alpha_000059,2024-01-14 14:00:00 CST,onsite_disp,2698260,8153,258,15,470,camp_alpha_011,SKU-012,inmarket,UNKNOWN,USD,CST
evt_alpha_000060,2024-01-16 07:00:00 CST,SD,2585195,7675,155,7,1145,camp_alpha_004,SKU-090,,desktop,USD,CST
evt_alpha_000061,2024-02-29 17:00:00 CST,offsite_vid,4266500,4935,191,26,2508,camp_alpha_016,SKU-029,retargeting,desktop,USD,CST
evt_alpha_000062,2024-02-04 05:00:00 CST,SD,2777618,355,196,46,1944,camp_alpha_002,SKU-010,,desktop,USD,CST
evt_alpha_000063,2024-01-05 22:00:00 CST,offsite_vid,1210389,2293,223,46,4948,camp_alpha_017,SKU-077,retargeting,desktop,USD,CST
evt_alpha_000064,2024-01-01 20:00:00 CST,offsite_vid,4997590,2100,196,30,1668,camp_alpha_006,SKU-003,retargeting,tablet,USD,CST
evt_alpha_000065,2024-02-22 04:00:00 CST,SD,263273,4278,144,20,2048,camp_alpha_019,SKU-045,retargeting,UNKNOWN,USD,CST
evt_alpha_000066,2024-03-02 00:00:00 CST,sp,4995207,3519,94,7,1574,camp_alpha_002,SKU-054,inmarket,tablet,USD,CST
evt_alpha_000067,2024-02-19 11:00:00 CST,sp,4934357,8527,388,29,4858,camp_alpha_017,SKU-047,lookalike,tablet,USD,CST
evt_alpha_000068,2024-03-25 13:00:00 CST,SD,1634026,4630,102,37,4859,camp_alpha_002,SKU-038,inmarket,desktop,USD,CST
evt_alpha_000069,2024-03-22 14:00:00 CST,onsite_disp,2673619,4361,480,23,1358,camp_alpha_010,SKU-051,retargeting,mobile,USD,CST
evt_alpha_000070,2024-01-29 03:00:00 CST,SD,3563351,3572,329,16,3579,camp_alpha_005,SKU-034,inmarket,mobile,USD,CST
evt_alpha_000071,2024-03-06 12:00:00 CST,SD,2626954,2006,110,22,3445,camp_alpha_016,SKU-008,,UNKNOWN,USD,CST
evt_alpha_000072,2024-01-04 23:00:00 CST,sp,1405794,1987,194,26,4188,camp_alpha_018,SKU-061,inmarket,tablet,USD,CST
evt_alpha_000073,2024-01-19 20:00:00 CST,sp,2482357,7081,0,4,523,camp_alpha_014,SKU-034,retargeting,desktop,USD,CST
evt_alpha_000074,2024-03-30 12:00:00 CST,onsite_disp,1172200,7037,248,46,2261,camp_alpha_015,SKU-056,inmarket,tablet,USD,CST
evt_alpha_000075,2024-03-03 15:00:00 CST,sp,2856944,1376,179,14,302,camp_alpha_014,SKU-090,,tablet,USD,CST
evt_alpha_000076,2024-03-18 23:00:00 CST,SD,2178007,5226,2,46,918,camp_alpha_014,SKU-018,inmarket,desktop,USD,CST
evt_alpha_000077,2024-01-15 22:00:00 CST,sp,2862779,9005,38,16,125,camp_alpha_012,SKU-025,retargeting,mobile,USD,CST
evt_alpha_000078,2024-03-24 03:00:00 CST,SD,567010,332,108,17,2158,camp_alpha_004,SKU-086,inmarket,tablet,USD,CST
evt_alpha_000079,2024-01-08 07:00:00 CST,sp,123275,6838,41,40,2660,camp_alpha_006,SKU-052,inmarket,UNKNOWN,USD,CST
evt_alpha_000080,2024-02-28 23:00:00 CST,onsite_disp,903692,3912,376,32,1460,camp_alpha_006,SKU-070,lookalike,UNKNOWN,USD,CST
evt_alpha_000081,2024-01-04 10:00:00 CST,SD,4248887,9452,246,2,242,camp_alpha_008,SKU-036,,tablet,USD,CST
evt_alpha_000082,2024-01-06 01:00:00 CST,offsite_vid,3194235,8295,334,5,117,camp_alpha_017,SKU-094,,desktop,USD,CST
evt_alpha_000083,2024-02-20 01:00:00 CST,onsite_disp,344761,6416,299,4,1141,camp_alpha_004,SKU-019,,mobile,USD,CST
evt_alpha_000084,2024-01-20 16:00:00 CST,offsite_vid,954016,6333,141,37,1828,camp_alpha_011,SKU-077,lookalike,tablet,USD,CST
evt_alpha_000085,2024-02-02 05:00:00 CST,SD,3857974,9965,171,1,2060,camp_alpha_008,SKU-002,,mobile,USD,CST
evt_alpha_000086,2024-03-03 04:00:00 CST,sp,2085296,2924,458,14,2038,camp_alpha_003,SKU-094,lookalike,mobile,USD,CST
evt_alpha_000087,2024-03-09 11:00:00 CST,SD,1812503,3630,136,33,2635,camp_alpha_003,SKU-035,retargeting,UNKNOWN,USD,CST
evt_alpha_000088,2024-03-04 21:00:00 CST,offsite_vid,237023,5568,327,10,872,camp_alpha_005,SKU-014,,desktop,USD,CST
evt_alpha_000089,2024-02-04 20:00:00 CST,sp,622244,2998,378,13,2621,camp_alpha_004,SKU-089,retargeting,desktop,USD,CST
evt_alpha_000090,2024-03-29 17:00:00 CST,offsite_vid,3436007,9610,103,13,3762,camp_alpha_006,SKU-097,lookalike,tablet,USD,CST
evt_alpha_000091,2024-01-15 00:00:00 CST,sp,4983680,4133,461,39,2151,camp_alpha_019,SKU-039,lookalike,desktop,USD,CST
evt_alpha_000092,2024-01-06 02:00:00 CST,onsite_disp,445266,8235,41,14,2035,camp_alpha_007,SKU-027,,mobile,USD,CST
evt_alpha_000093,2024-02-07 00:00:00 CST,sp,1999492,1050,288,3,2645,camp_alpha_002,SKU-010,retargeting,tablet,USD,CST
evt_alpha_000094,2024-03-14 00:00:00 CST,SD,4157893,6128,158,46,3228,camp_alpha_008,SKU-005,retargeting,tablet,USD,CST
evt_alpha_000095,2024-03-08 11:00:00 CST,sp,2180154,194,114,35,793,camp_alpha_011,SKU-027,retargeting,UNKNOWN,USD,CST
